GloboLakes_ID,LakeName,Latitude,Longitude,Country,Type,Elevation,LakeSize,Group,OverallAvg,OverallMeanAmp,misclassified
94,GENERAL CARRERA/BUENOS AIRES,-46.66,-72.5,Chile; Argentina,Lake,451,109,7,9.984778353,4.789143691,FALSE
95,Vättern,58.33,14.57,Sweden,Lake,91,129,5,7.718750849,17.23330271,TRUE
99,KYOGA,1.5,33.01,Uganda,Lake,1043,65,3,26.63902869,1.514891348,FALSE
100,la MARTRE,63.33,-117.91,Canada,Lake,265,140,4,3.329802692,16.31062333,FALSE
102,UST-ILIMSKOYE,57.15,102.32,Russia,Reservoir,284,84,4,4.392886127,18.26696693,FALSE
103,WILLISTON Lake,55.95,-123.91,Canada,Reservoir,684,89,5,5.449444043,17.37192439,FALSE
104,KAMSKOYE/KAMA Reservoir,58.8,56.26,Russia,Reservoir,111,97,5,5.711201147,21.29603563,FALSE
105,SILING,31.77,88.95,China,Lake,4557,82,5,5.525479131,13.89214524,TRUE
106,BROKOPONDO,4.72,-55.07,Suriname,Reservoir,46,32,3,29.94582619,1.664350855,FALSE
109,HUNG-TSE Lake,33.34,118.53,China,Lake,3,82,1,16.12259037,26.81009015,FALSE
110,SAKAKAWEA,47.81,-102.32,United States,Reservoir,571,80,5,7.757228468,22.40989619,TRUE
111,SAIMAA,61.39,28.2,Finland,Reservoir,79,63,5,6.348031744,19.85185917,FALSE
112,KHANTAYSKOYE VODOKHRANILISHCHE,67.96,87.75,Russia,Reservoir,50,232,4,2.069966871,13.67542459,FALSE
113,SARATOVSKOYE,52.74,48.36,Russia,Reservoir,35,73,9,8.08948799,22.81361045,TRUE
114,OKEECHOBEE,26.95,-80.86,United States,Lake,4,53,2,25.06481063,13.45179303,FALSE
116,KAINJI Reservoir,10.43,4.56,Nigeria,Reservoir,96,42,3,28.52544096,5.001959808,FALSE
117,ARGENTINO Lake,-50.33,-73.03,Argentina,Lake,225,66,7,7.749452708,6.121489642,FALSE
119,MWERU WANTIPA,-8.71,29.72,Zambia,Lake,945,52,6,26.74932182,5.431922079,FALSE
120,TENGIZ,50.44,68.9,Kazakhstan,Lake,297,75,9,7.623072608,22.93081214,TRUE
121,KHYARGAS Lake,49.13,93.3,Mongolia,Lake,1027,86,5,6.985221805,19.90186934,FALSE
125,CLAIRE,58.59,-112.08,Canada,Lake,212,99,5,4.764593849,20.45040457,FALSE
127,la RONGE,55.11,-104.83,Canada,Lake,371,76,5,5.601687259,18.92270636,FALSE
132,de RINCÓN DEL BONETE,-32.7,-55.93,Uruguay,Reservoir,56,45,8,18.68252291,12.83879458,FALSE
133,POOPÓ Lake,-18.81,-67.06,Bolivia,Lake,3679,71,8,12.30535064,9.287203533,FALSE
134,ZZZZ,-2.16,-52.2,Brazil,Lake,8,62,3,30.35451645,0.759416602,FALSE
135,SEVAN Lake,40.39,45.29,Armenia,Lake,1876,66,9,10.11016317,19.57316392,FALSE
136,VYGOZERO,63.54,34.84,Russia,Lake,74,97,5,4.937423506,18.05560555,FALSE
137,CREE Lake,57.47,-106.64,Canada,Lake,484,72,4,4.038735581,16.93440483,FALSE
142,KHAR-US Lake,48.06,92.3,Mongolia,Lake,1191,60,5,7.198555889,22.59309208,FALSE
145,BECHAROF Lake,57.85,-156.4,United States,Lake,22,82,4,3.176583924,9.296318413,FALSE
