"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"579",1840,"ERCEK",38.67,43.59,"Turkey","Lake",1850,8,9,10.8402925157832,22.4624979917382
"580",1841,"INAWASHIRO",37.47,140.09,"Japan","Lake",530,6,9,12.2827667849747,22.1069924231223
"581",1853,"MANDIORÉ",-18.13,-57.56,"Brazil; Bolivia","Lake",232,7,3,28.0852486615206,8.36607170907968
"582",1869,"IHOTRY",-21.94,43.67,"Madagascar","Lake",72,9,6,26.6588003187324,8.7940105185586
"583",1887,"ZZZZ",53.88,70.65,"Kazakhstan","Lake",77,8,9,7.9671662842616,28.272440107394
"584",1893,"ROXEN",58.49,15.64,"Sweden","Lake",38,7,9,8.20005813880574,22.2949518850358
"585",1904,"ZZZZ",-0.23,116.47,"Indonesia","Lake",40,5,3,30.4674922157173,1.47124632961054
"586",1908,"SLED Lake",54.46,-107.39,"Canada","Lake",469,8,5,6.12844637964445,21.4484405474845
"587",1910,"PIGEON Lake",53.02,-114.07,"Canada","Lake",850,9,5,6.24148667929407,20.0426807972559
"588",1941,"VALLI DI COMACCHIO",44.6,12.16,"Italy","Lagoon",1,6,1,16.2357290756763,24.6596410923853
"589",1943,"CHIUTA",-14.78,35.85,"Malawi; Mozambique","Lake",634,5,6,25.3223673298132,7.97627360957084
"590",1945,"KEELEY Lake",54.89,-108.13,"Canada","Lake",458,9,5,6.14536307313336,20.49288039575
"591",1951,"QUACHUNA Lake",-13.15,-65.79,"Bolivia","Lake",196,12,3,28.2587893998803,3.2273776271256
"592",1954,"ZZZZ",-17.52,-57.78,"Brazil; Bolivia","Lake",98,13,3,27.8327713702792,7.01347156324026
"593",1975,"EPECUÉN",-37.14,-62.87,"Argentina","Lake",113,8,8,16.0540668276687,15.6439230267725
"594",1984,"UNDEN",58.77,14.46,"Sweden","Lake",116,9,5,7.82162669751321,19.8861776080061
"595",1989,"DOG Lake",51.05,-98.49,"Canada","Lake",248,8,5,7.38695451731131,23.6490271579957
"596",1993,"XIASHAN Reservoir",36.43,119.45,"China","Reservoir",23,7,1,13.6193519761525,28.7160298530928
