x,y,class,post 1,post 2,post 3,post 4,post 5,post 6,post 7,post 8,post 9
-144,62,4,0,0,0,0.9827,0.0173,0,0,0,0
-144,64,4,0,0,0,0.8228,0.1771,0,0,0,1.00E-04
-144,66,5,0,0,0,0.4403,0.5593,0,0,0,3.00E-04
-144,68,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-144,70,4,0,0,0,1,0,0,0,0,0
-142,62,4,0,0,0,0.9613,0.0387,0,0,0,0
-142,64,4,0,0,0,0.632,0.3679,0,0,0,2.00E-04
-142,66,4,0,0,0,0.7648,0.2351,0,0,0,1.00E-04
-142,68,4,0,0,0,0.9991,9.00E-04,0,0,0,0
-140,60,4,0,0,0,0.9972,0.0028,0,0,0,0
-140,62,4,0,0,0,0.6827,0.3171,0,0,0,2.00E-04
-140,64,4,0,0,0,0.5794,0.4204,0,0,0,2.00E-04
-140,66,4,0,0,0,0.9751,0.0249,0,0,0,0
-140,68,4,0,0,0,0.9968,0.0032,0,0,0,0
-138,60,4,0,0,0,0.8621,0.1379,0,0,0,0
-138,62,4,0,0,0,0.6717,0.3282,0,0,0,2.00E-04
-138,64,4,0,0,0,0.6331,0.3667,0,0,0,2.00E-04
-138,66,4,0,0,0,0.9878,0.0122,0,0,0,0
-138,68,4,0,0,0,0.9978,0.0022,0,0,0,0
-136,58,5,0,0,0,0.0093,0.9376,0,0,0,0.0531
-136,60,4,0,0,0,0.8331,0.1669,0,0,0,1.00E-04
-136,62,5,0,0,0,0.3141,0.6854,0,0,0,4.00E-04
-136,64,4,0,0,0,0.7766,0.2233,0,0,0,1.00E-04
-136,66,4,0,0,0,0.9595,0.0405,0,0,0,0
-136,68,4,0,0,0,0.9904,0.0096,0,0,0,0
-134,60,4,0,0,0,0.8177,0.1823,0,0,0,1.00E-04
-134,62,4,0,0,0,0.538,0.4618,0,0,0,2.00E-04
-134,64,4,0,0,0,0.7373,0.2626,0,0,0,1.00E-04
-134,66,4,0,0,0,0.8506,0.1493,0,0,0,1.00E-04
